ProductID,OriginalText,PEGASUS_Summary,BART_Summary
0006641040,"These days, when a person says, ""chicken soup"" they're probably going to follow up those words with, ""for the soul"" or maybe ""for the teenaged soul"".  Didn't used to be that way.  Why I can remember a time when if a person said, ""chicken soup"" those words were followed by an enthusiastic ""with rice!"".  Such was the power of Maurice Sendak's catchy 1962 children's book.  I am pleased to report that if you care to read this book again today, you will find it hasn't dimished a jot in terms of froli...","In our series of letters from African-American journalists, film-maker and columnist Sharon Florentine looks back at some of her favourite books.","Maurice Sendak's 1962 children's book is a classic. Each month gets its own rhythmic poem and accompanying illustration. This book was the ""Chicka Chicka Boom Boom"" of its day, and still remains the catchiest method to teach kids the months of the year"
141278509X,"This product by Archer Farms is the best drink mix ever. Just mix a flavored packet with your 16 oz. water bottle. Contains the all natural sweetner Stevia, real fruit flavoring and no food coloring. Just colored with fruit or vegetable colors. Pure and natural and tastes great. There are eight packets in a box and only contains 10 calories per packet. Thank you Archer Farms!...",Have you ever wondered what it would be like to drink from a water bottle?,"This product by Archer Farms is the best drink mix ever. Just mix a flavored packet with your 16 oz. water bottle. Contains the all natural sweetner Stevia, real fruit flavoring and no food coloring. Just colored with fruit or vegetable colors. Pure and natural and tastes great"
2734888454,"My dogs loves this chicken but its a product from China, so we wont be buying it anymore.  Its very hard to find any chicken products made in the USA but they are out there, but this one isnt.  Its too bad too because its a good product but I wont take any chances till they know what is going on with the china imports. Our dogs just love them.  I saw them in a pet store and a tag was attached regarding them being made in China and it satisfied me that they were safe....",Is it safe to buy chicken products made in the USA?,"My dogs loves this chicken but its a product from China, so we wont be buying it anymore. Its very hard to find any chicken products made in the USA but they are out there, but this one isnt. Its too bad too because its a good product but I wont take"
2841233731,This book is easy to read and the ingredients are available in stores unlike some recipe books where you have to go to special stores to find ingredients. I use it to make food not only for my son but for myself!  The only thing I wish was that there were more recipes like these.  It is great for any one who likes a healthy and yummy snack....,I have been using this book to make healthy snacks for my son.,This book is easy to read and the ingredients are available in stores unlike some recipe books where you have to go to special stores to find ingredients. The only thing I wish was that there were more recipes like these. It is great for any one who likes a healthy and yummy snack
7310172001,This product is a very health snack for your pup as it is made of 100% beef liver. My puppy does all of his tricks to get this treat. It is a little pricy but the container is large so it should last a long time as long as you don't overfeed. My girls love these. I cut them up smaller and use them for training. Definately able to keep the dogs attention when they know something yummy and tasty is coming their way. The price was right too for the amount. As long as the price remains perfect I pla...,Our Premium Beef Liver Training Treats are a delicious treat that your dog will love!,This product is a very health snack for your pup as it is made of 100% beef liver. My puppy does all of his tricks to get this treat. It is a little pricy but the container is large so it should last a long time as long as you don't over
7310172101,This product is a very health snack for your pup as it is made of 100% beef liver. My puppy does all of his tricks to get this treat. It is a little pricy but the container is large so it should last a long time as long as you don't overfeed. My girls love these. I cut them up smaller and use them for training. Definately able to keep the dogs attention when they know something yummy and tasty is coming their way. The price was right too for the amount. As long as the price remains perfect I pla...,Our Premium Beef Liver Training Treats are a delicious treat that your dog will love!,This product is a very health snack for your pup as it is made of 100% beef liver. My puppy does all of his tricks to get this treat. It is a little pricy but the container is large so it should last a long time as long as you don't over
7800648702,"This came in a HUGE tin, much bigger than I expected.  These cookies are not sweet, so if you want something to satisfy your sweet tooth, this may not be it.  But, if you want a delicious strawberry cookie that is light and not supermarket-sweet, then try this one.  I got mine when the price was under four dollars here on Amazon.  I wouldn't pay ten dollars for this tin, though. There are almost 80 of these crispy, cream-filled wafer cookies, and the large tin they come in has a double lid so th...",I've been wanting to try this cookie for a long time.,"This came in a HUGE tin, much bigger than I expected. These cookies are not sweet, so if you want something to satisfy your sweet tooth, this may not be it. A serving size is 2 cookies, and that's 100 calories and 3.5 grams of saturated fat but"
9376674501,Our little dog has a very sensitive stomach.  This is the only treat that does not bother him.  He loves it and so does his tummy.  Thanks!...,This is the best dog food I have ever had.,Our little dog has a very sensitive stomach. This is the only treat that does not bother him. He loves it and so does his tummy. Thanks for any help you can give us with our dog's sensitive stomachs. We would love to hear from you.
B00002N8SM,"I don't know how this product performs with big flies but it sucks with fruit flies. Ineffective and worthless. I bought this product for indoors and two other outdoor fly traps.  The outdoor traps worked immediately and I have noticed less flies in my home from my backdoor over the past week.  However, this indoor trap has caught zero flies yet over one week, while the outdoor traps have caught a combined 75-100.  I get excited looking at the trap thinking a fly was caught, but then realize tha...",I bought this trap to try to get rid of fruit flies in my kitchen.,"I don't know how this product performs with big flies but it sucks with fruit flies. The picture was a bit misleading, I thought it was a trap where flies entered inside and were trapped, like a roach motel. I caught many flies with a little milk in the bottom of"
B00002NCJC,"Why is this $[...] when the same product is available for $[...] here?<br />http://www.amazon.com/VICTOR-FLY-MAGNET-BAIT-REFILL/dp/B00004RBDY<br /><br />The Victor M380 and M502 traps are unreal, of course -- total fly genocide. Pretty stinky, but only right nearby. We have used the Victor fly bait for 3 seasons.  Can't beat it.  Great product!...","The Victor M380 and M502 are unreal, of course - total fly genocide.","The Victor M380 and M502 traps are unreal, of course -- total fly genocide. Pretty stinky, but only right nearby. We have used the Victor fly bait for 3 seasons. Can't beat it. Great product. Why is this $[...] when the same product"
